nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
369 Shanghai Dumpling & Noodle,1068,4.6,4.6,1068,4.572358052267143,Sangat tinggi,TRUE,-0.027641947732856664
ABADI Bakmi & Kopi - Embong Tanjung,631,4.9,4.9,631,4.758807782767661,Sangat tinggi,TRUE,-0.141192217232339
Aiola Eatery - Slamet,10112,4.5,4.5,10112,4.499386166660658,Sangat tinggi,TRUE,-6.138333393419515e-4
Angkringan Moro Seneng,33,4.5,4.5,33,4.481834886583436,Sangat rendah,TRUE,-0.018165113416563905
Ayam Bakar Wong Solo - Walikota Mustajab,3517,4.3,4.3,3517,4.314986784183673,Sangat tinggi,TRUE,0.014986784183673052
Ayam Kremes & Soto Suroboyo,1943,4.7,4.7,1943,4.668926761335099,Sangat tinggi,TRUE,-0.031073238664901304
BAKSO & BAKMI ASIA BANGSA,1217.5,4.5,4.5,1217.5,4.495833960651049,Sangat tinggi,TRUE,-0.0041660393489513226
Babeh St,1516,4.2,4.2,1516,4.248731570428037,Sangat tinggi,TRUE,0.04873157042803644
Bak cang depot 63,82,4.6,4.6,82,4.504475211757563,Rendah,TRUE,-0.09552478824243682
Bakmi Bintang Palu,906,4.8,4.8,906,4.716562054280425,Sangat tinggi,TRUE,-0.08343794571957464
Bakmi Frapatan - Pasar Pucang Anom,32,4.8,4.8,32,4.50909472978851,Sangat rendah,TRUE,-0.29090527021149004
Bakmi Gili Restaurant,401,4.3,4.3,401,4.379801245691411,Sangat tinggi,TRUE,0.079801245691411
Bakmi Jawa Jogja Mas No Spesialis Ayam Kampung,80,4.9,4.9,80,4.564072083906536,Rendah,TRUE,-0.33592791609346406
Bakmi Lanka - Tunjungan,519.5,4.3,4.3,519.5,4.368530151991253,Sangat tinggi,TRUE,0.06853015199125334
Bakmi MakYus - Ngagel Jaya Utara,601,4.5,4.5,601,4.493043777860577,Sangat tinggi,TRUE,-0.006956222139423041
Bakmie,441,4.2,4.2,441,4.317615775832559,Sangat tinggi,TRUE,0.11761577583255889
Bakmie Papi - Tunjungan,88,4.5,4.5,88,4.484286619682605,Rendah,TRUE,-0.01571338031739522
Bakmie Sapi Fengkolan Pusat,176,3,3,176,3.954282134249569,Tinggi,TRUE,0.9542821342495689
Bakso & Pangsit Mojopahit,278,4.7,4.7,278,4.582337736436254,Sangat tinggi,TRUE,-0.1176622635637461
Bakso Balballan,427,4.1,4.1,427,4.262621296075903,Sangat tinggi,TRUE,0.16262129607590303
Bakso Bintang Lima (Bakso Kuah Mercon),484,3.8,3.8,484,4.070375603634924,Sangat tinggi,TRUE,0.27037560363492386
Bakso Bonnet,2481,4.5,4.5,2481,4.49771355026626,Sangat tinggi,TRUE,-0.002286449733739815
Bakso Bratang,359,4.4,4.4,359,4.437651875491027,Sangat tinggi,TRUE,0.037651875491026665
Bakso Cak Mus Airlangga,33,4.7,4.7,33,4.500558290838756,Sangat rendah,TRUE,-0.1994417091612446
Bakso Cak Nur 1,694,4.3,4.3,694,4.356730929966118,Sangat tinggi,TRUE,0.05673092996611828
Bakso Daging Sapi P.Sabar,834.5,4.6,4.6,834.5,4.566764989186015,Sangat tinggi,TRUE,-0.03323501081398472
Bakso Depan Bonet,1395,4.5,4.5,1395,4.496265265395545,Sangat tinggi,TRUE,-0.00373473460445517
"Bakso Hana ""Cak Aji""",113,4.3,4.3,113,4.432940572302107,Sedang,TRUE,0.13294057230210754
Bakso Jagalan 87,982,4.2,4.2,982,4.26872592971238,Sangat tinggi,TRUE,0.06872592971237967
Bakso Jalil,529,4.4,4.4,529,4.430108188003137,Sangat tinggi,TRUE,0.03010818800313686
Bakso Mas Ari Asli Solo,134,4.2,4.2,134,4.397236598722517,Sedang,TRUE,0.1972365987225171
Bakso Pak Pek,189,4.5,4.5,189,4.48740766474073,Tinggi,TRUE,-0.012592335259269838
Bakso Pak Sabar,1687,4.6,4.6,1687,4.580885520817673,Sangat tinggi,TRUE,-0.019114479182326782
Bakso Prasmanan (Cak Dar),197,4.6,4.6,197,4.525744041666333,Tinggi,TRUE,-0.0742559583336666
Bakso Putra Wilis AG,277,4.3,4.3,277,4.396390272457102,Sangat tinggi,TRUE,0.09639027245710174
Bakso Sama Rasa,43,4.2,4.2,43,4.446749786263893,Sangat rendah,TRUE,0.24674978626389255
Bakso Sama Rasa,43,4.2,4.2,43,4.446749786263893,Sangat rendah,TRUE,0.24674978626389255
Bakso Setia 22,66,4.2,4.2,66,4.432028009132714,Rendah,TRUE,0.23202800913271382
Bakso Solo Dan Es Campur Pak Sabar,378,4.7,4.7,378,4.599206878165823,Sangat tinggi,TRUE,-0.10079312183417688
Bakso Solo Pak Jan,389,4.6,4.6,389,4.545867039549274,Sangat tinggi,TRUE,-0.05413296045072524
Bakso Solo Samrat Manyar Kertoarjo,818,3.8,3.8,818,3.990986195622559,Sangat tinggi,TRUE,0.19098619562255914
Bakso Solo “Pak Jan”,1239,4.5,4.5,1239,4.495891432480373,Sangat tinggi,TRUE,-0.004108567519627293
Bakso Tetel Sapi Pak No,462,4.5,4.5,462,4.49180652273917,Sangat tinggi,TRUE,-0.008193477260830306
Bakso Tetelan Pak Kam,1711,4.3,4.3,1711,4.328316571051791,Sangat tinggi,TRUE,0.028316571051790973
Bakso Unyil Joss,886,4.6,4.6,886,4.568184817520249,Sangat tinggi,TRUE,-0.03181518247975035
Bakso geranat,47,4.3,4.3,47,4.456880757218721,Sangat rendah,TRUE,0.15688075721872075
"Bakso, Pangsit, Mie Ayam Ning Ati",82,4.5,4.5,82,4.4840517995533284,Rendah,TRUE,-0.015948200446671557
Bakwan Babi Kohar @ Pujasera Terrasse,101,4.9,4.9,101,4.58084850777803,Sedang,TRUE,-0.3191514922219705
Bakwan Dempo 19 Manyar Kertoarjo,208,4.4,4.4,208,4.448429947906466,Sangat tinggi,TRUE,0.04842994790646582
Bakwan Kapasari (Non Halal),1008,4.3,4.3,1008,4.343312088527805,Sangat tinggi,TRUE,0.04331208852780488
Bakwan Pabean,319,4.6,4.6,319,4.539932337542147,Sangat tinggi,TRUE,-0.06006766245785222
Bakwan Pak Nur Trunojoyo,665,4.7,4.7,665,4.628589941615704,Sangat tinggi,TRUE,-0.07141005838429582
Bakwan Sari Murni Kalidami,420,4.4,4.4,420,4.434546041272023,Sangat tinggi,TRUE,0.034546041272022876
Bakwan Tennis Cak Cekrek,181,4,4,181,4.306387207833489,Tinggi,TRUE,0.30638720783348905
Bondhet Sego Kucing,164,4.6,4.6,164,4.520675899732495,Tinggi,TRUE,-0.07932410026750425
"Bubur Ayam cabang Kranggan, kalisari",181,4.5,4.5,181,4.48720638865267,Tinggi,TRUE,-0.01279361134733037
"Bucket and catering ,pangsit mie ayam jakarta",36,4.5,4.5,36,4.481988178679779,Sangat rendah,TRUE,-0.018011821320221166
Cak Riban Soto Ayam,191,4.5,4.5,191,4.487456998081609,Tinggi,TRUE,-0.01254300191839075
Chicken Noodle Jakarta SIOLA,613,4,4,613,4.1644469678505756,Sangat tinggi,TRUE,0.16444696785057555
Coto Makassar Daeng Kulle,1742,4.6,4.6,1742,4.581395487519118,Sangat tinggi,TRUE,-0.018604512480881574
Cuanki Cep Bewok - Unair,155,4.4,4.4,155,4.453839404680003,Tinggi,TRUE,0.05383940468000237
DEPOT ENAAAK Enak Kikil Sapi & Bakso Urat & Cwie Mie,86,4.5,4.5,86,4.484209118423332,Rendah,TRUE,-0.015790881576667637
DEPOT NAIN PANGSIT MIE AYAM JAKARTA,129,4.6,4.6,129,4.514485613201029,Sedang,TRUE,-0.0855143867989705
Depot Ampel,1425,4.5,4.5,1425,4.4963294912700835,Sangat tinggi,TRUE,-0.0036705087299164774
Depot Anda fit,1455,4.2,4.2,1455,4.250406761071097,Sangat tinggi,TRUE,0.05040676107109654
Depot Bu Rudy Dharmahusada,16385,4.5,4.5,16385,4.499616677992197,Sangat tinggi,TRUE,-3.833220078028887e-4
Depot CM Sei Babi Khas NTT,80,4.8,4.8,80,4.544047052617425,Rendah,TRUE,-0.2559529473825748
Depot Chinese Food Tanjung Anom (Eks. Sonokembang),283,4.5,4.5,283,4.489372278042591,Sangat tinggi,TRUE,-0.010627721957408909
Depot Jepun Bali,2765.5,4.7,4.7,2765.5,4.677211279585303,Sangat tinggi,TRUE,-0.02278872041469704
Depot Juang 45,187,3.8,3.8,187,4.228917665391236,Tinggi,TRUE,0.42891766539123655
Depot Karmen 29 Cab. SATE BUNTEL Bu Hj.Bedjo Solo,175,3.8,3.8,175,4.239326183054927,Tinggi,TRUE,0.4393261830549271
Depot Lezat ex. Kapas Krampung,752,4.4,4.4,752,4.423842088213403,Sangat tinggi,TRUE,0.023842088213402945
Depot Mekarsari,1917,4.3,4.3,1917,4.325708382526564,Sangat tinggi,TRUE,0.025708382526564044
Depot Mentari,72,4.5,4.5,72,4.483644438111523,Rendah,TRUE,-0.016355561888476977
Depot Mie Elok,62,4.4,4.4,62,4.466964082622965,Rendah,TRUE,0.06696408262296494
Depot Mustikarasa,288,4.8,4.8,288,4.631681971227425,Sangat tinggi,TRUE,-0.16831802877257473
Depot Sate & Gule,115,4.5,4.5,115,4.485263055283455,Sedang,TRUE,-0.014736944716545075
Depot Singaraja Pak Gede,639,4.6,4.6,639,4.559986225895317,Sangat tinggi,TRUE,-0.04001377410468265
Depot Slamet,3632,4.4,4.4,3632,4.406465088579188,Sangat tinggi,TRUE,0.0064650885791879276
Depot Soto Banjar Achmad Jais,4191,4.6,4.6,4191,4.591496906666813,Sangat tinggi,TRUE,-0.008503093333186662
Depot Tanjung Api Surabaya,2158,4.5,4.5,2158,4.497415458131448,Sangat tinggi,TRUE,-0.0025845418685523924
Depot Terasa Nikmat Gubeng,587,4.2,4.2,587,4.298672694451915,Sangat tinggi,TRUE,0.09867269445191518
Depot mie dan lemper special 168,331,4.6,4.6,331,4.541040426626689,Sangat tinggi,TRUE,-0.05895957337331037
Dhin Aju Barung & Le Olle,735,4.7,4.7,735,4.633330296368574,Sangat tinggi,TRUE,-0.0666697036314261
ERWIN FROZEN,35,5,5,35,4.531302672836844,Sangat rendah,TRUE,-0.4686973271631558
Enggal Bakwan,61,4.7,4.7,61,4.515234684679793,Rendah,TRUE,-0.1847653153202069
"Es Campur,Bakso & Nasgor Jowo ""Mbak Gendut""",139,4.5,4.5,139,4.4860344547887925,Sedang,TRUE,-0.01396554521120752
Es Teller Tanjung Anom,377,4.4,4.4,377,4.4366788191251425,Sangat tinggi,TRUE,0.03667881912514215
Es Teller Tanjung Anom,1382,4.5,4.5,1382,4.496236730837885,Sangat tinggi,TRUE,-0.0037632691621150016
Fajar Chinese Restaurant - Manyar,1583,4.6,4.6,1583,4.5798406294458145,Sangat tinggi,TRUE,-0.020159370554185152
Gajah Mada Pangsit Mie Ayam,267,4,4,267,4.261460865337871,Sangat tinggi,TRUE,0.26146086533787116
Halim Restaurant,1376,4.2,4.2,1376,4.252755409920767,Sangat tinggi,TRUE,0.052755409920766994
Hiewan Petemon,305,4.5,4.5,305,4.489746673371756,Sangat tinggi,TRUE,-0.010253326628244075
Ikon All You Can Eat,4959,4.8,4.8,4959,4.780628359859934,Sangat tinggi,TRUE,-0.01937164014006587
Jakarta Chicken Noodle Brabin I,65,4.5,4.5,65,4.483346677556987,Rendah,TRUE,-0.01665332244301343
Jakarta Yamin Noodle Cak Hendrat,540,4.4,4.4,540,4.4297228592445155,Sangat tinggi,TRUE,0.02972285924451512
Kayoon Heritage,655,4.6,4.6,655,4.56064319909765,Sangat tinggi,TRUE,-0.0393568009023495
Kedai Mie KEMBALI DJAYA PUCANG,389,4.7,4.7,389,4.6007717678484985,Sangat tinggi,TRUE,-0.09922823215150167
Kedai Mie Srikana,56,4.9,4.9,56,4.5426013249551564,Rendah,TRUE,-0.3573986750448439
Kim Hwa,148,4.5,4.5,148,4.486303310204623,Sedang,TRUE,-0.013696689795376749
Kopitiam Shantui,620,4.8,4.8,620,4.691162104864993,Sangat tinggi,TRUE,-0.10883789513500641
Kwetiau Medan ( Bambang ),334,4.5,4.5,334,4.4902016794501325,Sangat tinggi,TRUE,-0.009798320549867512
Lesehan Bu Munir - Sop Ceker TP4 Pucang,267,4.4,4.4,267,4.443558052038639,Sangat tinggi,TRUE,0.04355805203863827
Lontong Balap Asli Pak Gendut (Pusat),1712,4.1,4.1,1712,4.159757222505863,Sangat tinggi,TRUE,0.059757222505863794
Lontong Balap H.Hasyim,236,4.6,4.6,236,4.530957331270317,Sangat tinggi,TRUE,-0.06904266872968279
Loving Hut Surabaya,1390,4.6,4.6,1390,4.5775646665812575,Sangat tinggi,TRUE,-0.022435333418742154
MEE & YU Noodle Bar (Eatery & Games),86,4.5,4.5,86,4.484209118423332,Rendah,TRUE,-0.015790881576667637
MIE BRINTIK,51,4.7,4.7,51,4.51024776658748,Rendah,TRUE,-0.1897522334125199
MIE GNI Jember,546,4.5,4.5,546,4.492601730237621,Sangat tinggi,TRUE,-0.007398269762378895
MIE PANGSIT MAHKOTA,156,4.4,4.4,156,4.453726177751128,Tinggi,TRUE,0.05372617775112776
Madame Chang Manyar,1431,4.6,4.6,1431,4.578090144256304,Sangat tinggi,TRUE,-0.021909855743695417
Mie Ayam & Bakso Bengawan,43,3.75,3.75,43,4.393370475919066,Sangat rendah,TRUE,0.6433704759190659
Mie Ayam & Bakso Solo,449.5,4.6,4.6,449.5,4.550125874539221,Sangat tinggi,TRUE,-0.04987412546077863
Mie Ayam 7000 - Kertajaya,244,3.8,3.8,244,4.185531140231874,Sangat tinggi,TRUE,0.3855311402318744
Mie Ayam Bakso Rajawali Pucang,218,4.7,4.7,218,4.569203344224487,Sangat tinggi,TRUE,-0.13079665577551314
Mie Ayam Balai Kota,34,4.2,4.2,34,4.45303195904006,Sangat rendah,TRUE,0.2530319590400598
"Mie Ayam Barokah ""Mas Teguh""",68,4.7,4.7,68,4.5185723806984806,Rendah,TRUE,-0.18142761930151963
Mie Ayam Bu Nur,44,4.9,4.9,44,4.530802744210898,Sangat rendah,TRUE,-0.36919725578910256
Mie Ayam Centil,68,4.8,4.8,68,4.536120767795255,Rendah,TRUE,-0.2638792322047445
Mie Ayam Jakarta Bang Rudy Surabaya,147,3.8,3.8,147,4.265695171534108,Sedang,TRUE,0.465695171534108
Mie Ayam Kare Mas Odie,123,4.6,4.6,123,4.51332609609189,Sedang,TRUE,-0.08667390390810947
