Entity,Year,Emigrants from Indonesia: Where did they move to?
Africa,1990,7183
Africa,1995,10432
Africa,2000,13918
Africa,2005,15013
Africa,2010,16509
Africa,2015,15170
Africa,2020,19581
Africa,2024,20058
Algeria,1990,1000
Algeria,1995,1223
Algeria,2000,1446
Algeria,2005,1143
Algeria,2010,1255
Algeria,2015,1363
Algeria,2020,1416
Algeria,2024,1467
Asia,1990,1048452
Asia,1995,1401843
Asia,2000,1863100
Asia,2005,2140201
Asia,2010,2760082
Asia,2015,3003694
Asia,2020,3170504
Asia,2024,3464183
Australia,1990,41797
Australia,1995,47200
Australia,2000,56595
Australia,2005,60318
Australia,2010,71090
Australia,2015,76976
Australia,2020,93414
Australia,2024,104566
Bahamas,1990,8
Bahamas,1995,7
Bahamas,2000,6
Bahamas,2005,18
Bahamas,2010,30
Bahamas,2015,33
Bahamas,2020,34
Bahamas,2024,36
Bahrain,1990,6285
Bahrain,1995,7931
Bahrain,2000,9135
Bahrain,2005,14255
Bahrain,2010,23008
Bahrain,2015,25817
Bahrain,2020,28122
Bahrain,2024,30062
Bangladesh,1990,70627
Bangladesh,1995,84052
Bangladesh,2000,97476
Bangladesh,2005,123383
Bangladesh,2010,143647
Bangladesh,2015,152862
Bangladesh,2020,149901
Bangladesh,2024,205947
Belgium,1990,2291
Belgium,1995,2508
Belgium,2000,2747
Belgium,2005,3008
Belgium,2010,3270
Belgium,2015,3358
Belgium,2020,3591
Belgium,2024,3816
Bolivia,1990,12
Bolivia,1995,14
Bolivia,2000,15
Bolivia,2005,12
Bolivia,2010,9
Bolivia,2015,11
Bolivia,2020,10
Bolivia,2024,11
Brazil,1990,5
Brazil,1995,884
Brazil,2000,722
Brazil,2005,785
Brazil,2010,716
Brazil,2015,767
Brazil,2020,814
Brazil,2024,847
Brunei,1990,3324
Brunei,1995,4551
Brunei,2000,5778
Brunei,2005,5907
Brunei,2010,6036
Brunei,2015,6165
Brunei,2020,6717
Brunei,2024,7195
Bulgaria,1990,1
Bulgaria,1995,6
Bulgaria,2000,11
Bulgaria,2005,17
Bulgaria,2010,22
Bulgaria,2015,38
Bulgaria,2020,63
Bulgaria,2024,87
Cambodia,1990,49
Cambodia,1995,129
Cambodia,2000,208
Cambodia,2005,162
Cambodia,2010,116
Cambodia,2015,105
Cambodia,2020,111
Cambodia,2024,117
Canada,1990,7426
Canada,1995,8286
Canada,2000,9197
Canada,2005,11931
Canada,2010,14446
Canada,2015,15781
Canada,2020,16012
Canada,2024,16815
Central America (UN),1990,136
Central America (UN),1995,165
Central America (UN),2000,208
Central America (UN),2005,241
Central America (UN),2010,320
Central America (UN),2015,360
Central America (UN),2020,410
Central America (UN),2024,524
Central and Southern Asia (UN),1990,72907
Central and Southern Asia (UN),1995,85902
Central and Southern Asia (UN),2000,99003
Central and Southern Asia (UN),2005,124922
Central and Southern Asia (UN),2010,145323
Central and Southern Asia (UN),2015,154474
Central and Southern Asia (UN),2020,151428
Central and Southern Asia (UN),2024,207434
China,1990,3433
China,1995,4030
China,2000,4796
China,2005,5709
China,2010,6690
China,2015,4909
China,2020,3466
China,2024,3725
Costa Rica,1990,13
Costa Rica,1995,10
Costa Rica,2000,13
Costa Rica,2005,10
Costa Rica,2010,18
Costa Rica,2015,17
Costa Rica,2020,20
Costa Rica,2024,24
Croatia,1990,0
Croatia,1995,0
Croatia,2000,0
Croatia,2005,14
Croatia,2010,27
Croatia,2015,27
Croatia,2020,23
Croatia,2024,22
Curacao,1990,187
Curacao,1995,187
Curacao,2000,187
Curacao,2005,187
Curacao,2010,169
Curacao,2015,182
Curacao,2020,211
Curacao,2024,295
Cyprus,1990,43
Cyprus,1995,61
Cyprus,2000,79
Cyprus,2005,118
Cyprus,2010,181
Cyprus,2015,165
Cyprus,2020,169
Cyprus,2024,179
Denmark,1990,463
Denmark,1995,501
Denmark,2000,616
Denmark,2005,892
Denmark,2010,1064
Denmark,2015,1161
Denmark,2020,1296
Denmark,2024,1546
East Timor,1990,4485
East Timor,1995,4893
East Timor,2000,5337
East Timor,2005,5666
East Timor,2010,5779
East Timor,2015,4177
East Timor,2020,4113
East Timor,2024,4066
Eastern Africa (UN),1990,2
Eastern Africa (UN),1995,114
Eastern Africa (UN),2000,226
Eastern Africa (UN),2005,176
Eastern Africa (UN),2010,126
Eastern Africa (UN),2015,141
Eastern Africa (UN),2020,143
Eastern Africa (UN),2024,145
Eastern Asia (UN),1990,98786
Eastern Asia (UN),1995,145979
Eastern Asia (UN),2000,209275
Eastern Asia (UN),2005,209000
Eastern Asia (UN),2010,319720
Eastern Asia (UN),2015,449346
Eastern Asia (UN),2020,523620
Eastern Asia (UN),2024,628419
Eastern Europe (UN),1990,192
Eastern Europe (UN),1995,182
Eastern Europe (UN),2000,175
Eastern Europe (UN),2005,218
Eastern Europe (UN),2010,261
Eastern Europe (UN),2015,284
Eastern Europe (UN),2020,680
Eastern Europe (UN),2024,810
Eastern and South-Eastern Asia (UN),1990,512886
Eastern and South-Eastern Asia (UN),1995,824315
Eastern and South-Eastern Asia (UN),2000,1155526
Eastern and South-Eastern Asia (UN),2005,1441218
Eastern and South-Eastern Asia (UN),2010,2023921
Eastern and South-Eastern Asia (UN),2015,2240127
Eastern and South-Eastern Asia (UN),2020,2397076
Eastern and South-Eastern Asia (UN),2024,2581736
Egypt,1990,1031
Egypt,1995,1372
Egypt,2000,1833
Egypt,2005,2372
Egypt,2010,2822
Egypt,2015,0
Egypt,2020,3447
Egypt,2024,3074
Estonia,1990,0
Estonia,1995,0
Estonia,2000,0
Estonia,2005,0
Estonia,2010,6
Estonia,2015,12
Estonia,2020,40
Estonia,2024,41
Europe,1990,192821
Europe,1995,184061
Europe,2000,172789
Europe,2005,162110
Europe,2010,148782
Europe,2015,135937
Europe,2020,123895
Europe,2024,115115
Europe and Northern America (UN),1990,200204
Europe and Northern America (UN),1995,192286
Europe and Northern America (UN),2000,181907
Europe and Northern America (UN),2005,173923
Europe and Northern America (UN),2010,163047
Europe and Northern America (UN),2015,151553
Europe and Northern America (UN),2020,139738
Europe and Northern America (UN),2024,131751
European Union (27),1990,192334
European Union (27),1995,183530
European Union (27),2000,172141
European Union (27),2005,161160
European Union (27),2010,147420
European Union (27),2015,134264
European Union (27),2020,122006
European Union (27),2024,112950
Faroe Islands,1990,1
Faroe Islands,1995,1
Faroe Islands,2000,0
Faroe Islands,2005,3
Faroe Islands,2010,6
Faroe Islands,2015,10
Faroe Islands,2020,11
Faroe Islands,2024,13
Finland,1990,36
Finland,1995,74
Finland,2000,112
Finland,2005,229
Finland,2010,311
Finland,2015,466
Finland,2020,709
Finland,2024,835
French Polynesia,1990,15
French Polynesia,1995,16
French Polynesia,2000,18
French Polynesia,2005,18
French Polynesia,2010,18
French Polynesia,2015,17
French Polynesia,2020,17
French Polynesia,2024,17
Greece,1990,195
Greece,1995,225
Greece,2000,259
Greece,2005,356
Greece,2010,470
Greece,2015,442
Greece,2020,450
Greece,2024,478
Guatemala,1990,27
Guatemala,1995,26
Guatemala,2000,25
Guatemala,2005,30
Guatemala,2010,35
Guatemala,2015,39
Guatemala,2020,42
Guatemala,2024,46
High-income countries,1990,844646
High-income countries,1995,933844
High-income countries,2000,1132995
High-income countries,2005,1113327
High-income countries,2010,1299168
High-income countries,2015,1464107
High-income countries,2020,1552269
High-income countries,2024,1716643
Hong Kong,1990,90186
Hong Kong,1995,100652
Hong Kong,2000,111117
Hong Kong,2005,121316
Hong Kong,2010,131809
Hong Kong,2015,134708
Hong Kong,2020,140463
Hong Kong,2024,145244
Hungary,1990,191
Hungary,1995,169
Hungary,2000,147
Hungary,2005,181
Hungary,2010,217
Hungary,2015,211
Hungary,2020,567
Hungary,2024,669
Iceland,1990,59
Iceland,1995,67
Iceland,2000,75
Iceland,2005,93
Iceland,2010,108
Iceland,2015,129
Iceland,2020,158
Iceland,2024,239
India,1990,1678
India,1995,1308
India,2000,1005
India,2005,959
India,2010,946
India,2015,884
India,2020,824
India,2024,780
Indonesia,1990,Selected country
Indonesia,1995,Selected country
Indonesia,2000,Selected country
Indonesia,2005,Selected country
Indonesia,2010,Selected country
Indonesia,2015,Selected country
Indonesia,2020,Selected country
Indonesia,2024,Selected country
Italy,1990,561
Italy,1995,819
Italy,2000,1157
Italy,2005,1695
Italy,2010,2345
Italy,2015,3086
Italy,2020,3876
Italy,2024,4226
Japan,1990,3350
Japan,1995,6495
Japan,2000,17744
Japan,2005,24390
Japan,2010,24873
Japan,2015,46640
Japan,2020,82095
Japan,2024,157343
Kuwait,1990,37499
Kuwait,1995,34504
Kuwait,2000,42691
Kuwait,2005,53678
Kuwait,2010,75811
Kuwait,2015,90622
Kuwait,2020,105196
Kuwait,2024,115347
Land-locked Developing Countries (LLDC),1990,12
Land-locked Developing Countries (LLDC),1995,14
Land-locked Developing Countries (LLDC),2000,15
Land-locked Developing Countries (LLDC),2005,12
Land-locked Developing Countries (LLDC),2010,9
Land-locked Developing Countries (LLDC),2015,11
Land-locked Developing Countries (LLDC),2020,10
Land-locked Developing Countries (LLDC),2024,11
Latin America and the Caribbean (UN),1990,452
Latin America and the Caribbean (UN),1995,1360
Latin America and the Caribbean (UN),2000,1241
Latin America and the Caribbean (UN),2005,1324
Latin America and the Caribbean (UN),2010,1357
Latin America and the Caribbean (UN),2015,1472
Latin America and the Caribbean (UN),2020,1595
Latin America and the Caribbean (UN),2024,1830
Latvia,1990,2
Latvia,1995,2
Latvia,2000,3
Latvia,2005,3
Latvia,2010,3
Latvia,2015,3
Latvia,2020,3
Latvia,2024,3
Libya,1990,4228
Libya,1995,6863
Libya,2000,9612
Libya,2005,10595
Libya,2010,11627
Libya,2015,13019
Libya,2020,13944
Libya,2024,14740
Liechtenstein,1990,0
Liechtenstein,1995,0
Liechtenstein,2000,0
Liechtenstein,2005,0
Liechtenstein,2010,4
Liechtenstein,2015,8
Liechtenstein,2020,9
Liechtenstein,2024,10
Lithuania,1990,4
Lithuania,1995,3
Lithuania,2000,2
Lithuania,2005,2
Lithuania,2010,1
Lithuania,2015,2
Lithuania,2020,10
Lithuania,2024,11
Low-income countries,1990,845
Low-income countries,1995,904
Low-income countries,2000,963
Low-income countries,2005,1124
Low-income countries,2010,1284
Low-income countries,2015,1414
Low-income countries,2020,1444
Low-income countries,2024,1470
Lower-middle-income countries,1990,86677
Lower-middle-income countries,1995,99688
Lower-middle-income countries,2000,113140
Lower-middle-income countries,2005,143015
Lower-middle-income countries,2010,167342
Lower-middle-income countries,2015,172363
Lower-middle-income countries,2020,172768
Lower-middle-income countries,2024,228406
Luxembourg,1990,0
Luxembourg,1995,0
Luxembourg,2000,0
Luxembourg,2005,0
Luxembourg,2010,0
Luxembourg,2015,0
Luxembourg,2020,121
Luxembourg,2024,140
Malaysia,1990,367801
Malaysia,1995,615621
Malaysia,2000,863511
Malaysia,2005,1128807
Malaysia,2010,1540665
Malaysia,2015,1607465
Malaysia,2020,1693459
Malaysia,2024,1761502
Malta,1990,11
Malta,1995,14
Malta,2000,18
Malta,2005,22
Malta,2010,18
Malta,2015,30
Malta,2020,63
Malta,2024,110
Melanesia,1990,9012
Melanesia,1995,8327
Melanesia,2000,7823
Melanesia,2005,11031
Melanesia,2010,14514
Melanesia,2015,14534
Melanesia,2020,14653
Melanesia,2024,14747
Mexico,1990,47
Mexico,1995,59
Mexico,2000,73
Mexico,2005,105
Mexico,2010,151
Mexico,2015,169
Mexico,2020,187
Mexico,2024,208
Namibia,1990,133
Namibia,1995,127
Namibia,2000,120
Namibia,2005,94
Namibia,2010,90
Namibia,2015,88
Namibia,2020,94
Namibia,2024,100
Netherlands,1990,188506
Netherlands,1995,179078
Netherlands,2000,166871
Netherlands,2005,154419
Netherlands,2010,139220
Netherlands,2015,124938
Netherlands,2020,110625
Netherlands,2024,100339
New Caledonia,1990,819
New Caledonia,1995,949
New Caledonia,2000,1079
New Caledonia,2005,1150
New Caledonia,2010,1221
New Caledonia,2015,938
New Caledonia,2020,994
New Caledonia,2024,1043
New Zealand,1990,2718
New Zealand,1995,2718
New Zealand,2000,3647
New Zealand,2005,4503
New Zealand,2010,4802
New Zealand,2015,5740
New Zealand,2020,7065
New Zealand,2024,7817
North America,1990,7809
North America,1995,8697
North America,2000,9650
North America,2005,12405
North America,2010,15022
North America,2015,16416
North America,2020,16729
North America,2024,17735
North Korea,1990,845
North Korea,1995,904
North Korea,2000,963
North Korea,2005,1124
North Korea,2010,1284
North Korea,2015,1414
North Korea,2020,1444
North Korea,2024,1470
Northern Africa (UN),1990,6259
Northern Africa (UN),1995,9458
Northern Africa (UN),2000,12891
Northern Africa (UN),2005,14110
Northern Africa (UN),2010,15704
Northern Africa (UN),2015,14382
Northern Africa (UN),2020,18807
Northern Africa (UN),2024,19281
Northern Africa and Western Asia (UN),1990,468961
Northern Africa and Western Asia (UN),1995,501145
Northern Africa and Western Asia (UN),2000,621541
Northern Africa and Western Asia (UN),2005,588289
Northern Africa and Western Asia (UN),2010,606723
Northern Africa and Western Asia (UN),2015,623640
Northern Africa and Western Asia (UN),2020,640976
Northern Africa and Western Asia (UN),2024,694473
Northern America (UN),1990,7426
Northern America (UN),1995,8286
Northern America (UN),2000,9197
Northern America (UN),2005,11931
Northern America (UN),2010,14446
Northern America (UN),2015,15781
Northern America (UN),2020,16012
Northern America (UN),2024,16815
Northern Europe (UN),1990,992
Northern Europe (UN),1995,1111
Northern Europe (UN),2000,1381
Northern Europe (UN),2005,2076
Northern Europe (UN),2010,2743
Northern Europe (UN),2015,3309
Northern Europe (UN),2020,3938
Northern Europe (UN),2024,4591
Norway,1990,427
Norway,1995,463
Norway,2000,573
Norway,2005,854
Norway,2010,1244
Norway,2015,1526
Norway,2020,1711
Norway,2024,1903
Oceania,1990,53542
Oceania,1995,58261
Oceania,2000,68083
Oceania,2005,75870
Oceania,2010,90424
Oceania,2015,97267
Oceania,2020,115149
Oceania,2024,127147
Pakistan,1990,599
Pakistan,1995,502
Pakistan,2000,443
Pakistan,2005,423
Pakistan,2010,413
Pakistan,2015,408
Pakistan,2020,380
Pakistan,2024,380
Panama,1990,49
Panama,1995,70
Panama,2000,97
Panama,2005,96
Panama,2010,116
Panama,2015,135
Panama,2020,161
Panama,2024,246
Papua New Guinea,1990,8108
Papua New Guinea,1995,7293
Papua New Guinea,2000,6663
Papua New Guinea,2005,9806
Papua New Guinea,2010,13219
Papua New Guinea,2015,13527
Papua New Guinea,2020,13592
Papua New Guinea,2024,13638
Polynesia,1990,15
Polynesia,1995,16
Polynesia,2000,18
Polynesia,2005,18
Polynesia,2010,18
Polynesia,2015,17
Polynesia,2020,17
Polynesia,2024,17
Portugal,1990,28
Portugal,1995,59
Portugal,2000,94
Portugal,2005,170
Portugal,2010,218
Portugal,2015,247
Portugal,2020,282
Portugal,2024,317
Qatar,1990,75264
Qatar,1995,111101
Qatar,2000,163088
Qatar,2005,64309
Qatar,2010,46507
Qatar,2015,53313
Qatar,2020,42969
Qatar,2024,46021
Saudi Arabia,1990,296986
Saudi Arabia,1995,270513
Saudi Arabia,2000,302021
Saudi Arabia,2005,321491
Saudi Arabia,2010,244403
Saudi Arabia,2015,185481
Saudi Arabia,2020,176729
Saudi Arabia,2024,169846
Seychelles,1990,2
Seychelles,1995,114
Seychelles,2000,226
Seychelles,2005,176
Seychelles,2010,126
Seychelles,2015,141
Seychelles,2020,143
Seychelles,2024,145
Singapore,1990,38441
Singapore,1995,53142
Singapore,2000,71417
Singapore,2005,91676
Singapore,2010,151605
Singapore,2015,172869
Singapore,2020,169056
Singapore,2024,180437
Sint Maarten (Dutch part),1990,52
Sint Maarten (Dutch part),1995,52
Sint Maarten (Dutch part),2000,52
Sint Maarten (Dutch part),2005,28
Sint Maarten (Dutch part),2010,57
Sint Maarten (Dutch part),2015,60
Sint Maarten (Dutch part),2020,62
Sint Maarten (Dutch part),2024,65
Slovakia,1990,0
Slovakia,1995,7
Slovakia,2000,17
Slovakia,2005,20
Slovakia,2010,22
Slovakia,2015,35
Slovakia,2020,50
Slovakia,2024,54
Slovenia,1990,2
Slovenia,1995,4
Slovenia,2000,8
Slovenia,2005,14
Slovenia,2010,25
Slovenia,2015,43
Slovenia,2020,68
Slovenia,2024,77
Small Island Developing States (SIDS),1990,52202
Small Island Developing States (SIDS),1995,66738
Small Island Developing States (SIDS),2000,85066
Small Island Developing States (SIDS),2005,108800
Small Island Developing States (SIDS),2010,172298
Small Island Developing States (SIDS),2015,192013
Small Island Developing States (SIDS),2020,188289
Small Island Developing States (SIDS),2024,199808
Solomon Islands,1990,85
Solomon Islands,1995,85
Solomon Islands,2000,81
Solomon Islands,2005,75
Solomon Islands,2010,74
Solomon Islands,2015,69
Solomon Islands,2020,67
Solomon Islands,2024,66
South Africa,1990,789
South Africa,1995,733
South Africa,2000,681
South Africa,2005,633
South Africa,2010,589
South Africa,2015,559
South Africa,2020,537
South Africa,2024,532
South America,1990,69
South America,1995,949
South America,2000,788
South America,2005,850
South America,2010,781
South America,2015,837
South America,2020,878
South America,2024,910
South Korea,1990,51
South Korea,1995,2352
South Korea,2000,9979
South Korea,2005,13616
South Korea,2010,17136
South Korea,2015,40400
South Korea,2020,36236
South Korea,2024,27807
South-Eastern Asia (UN),1990,414100
South-Eastern Asia (UN),1995,678336
South-Eastern Asia (UN),2000,946251
South-Eastern Asia (UN),2005,1232218
South-Eastern Asia (UN),2010,1704201
South-Eastern Asia (UN),2015,1790781
South-Eastern Asia (UN),2020,1873456
South-Eastern Asia (UN),2024,1953317
Southern Africa (UN),1990,922
Southern Africa (UN),1995,860
Southern Africa (UN),2000,801
Southern Africa (UN),2005,727
Southern Africa (UN),2010,679
Southern Africa (UN),2015,647
Southern Africa (UN),2020,631
Southern Africa (UN),2024,632
Southern Asia (UN),1990,72907
Southern Asia (UN),1995,85902
Southern Asia (UN),2000,99003
Southern Asia (UN),2005,124922
Southern Asia (UN),2010,145323
Southern Asia (UN),2015,154474
Southern Asia (UN),2020,151428
Southern Asia (UN),2024,207434
Southern Europe (UN),1990,797
Southern Europe (UN),1995,1121
Southern Europe (UN),2000,1536
Southern Europe (UN),2005,2271
Southern Europe (UN),2010,3103
Southern Europe (UN),2015,3875
Southern Europe (UN),2020,4762
Southern Europe (UN),2024,5230
Sri Lanka,1990,3
Sri Lanka,1995,40
Sri Lanka,2000,79
Sri Lanka,2005,157
Sri Lanka,2010,317
Sri Lanka,2015,320
Sri Lanka,2020,323
Sri Lanka,2024,327
Sub-Saharan Africa (UN),1990,924
Sub-Saharan Africa (UN),1995,974
Sub-Saharan Africa (UN),2000,1027
Sub-Saharan Africa (UN),2005,903
Sub-Saharan Africa (UN),2010,805
Sub-Saharan Africa (UN),2015,788
Sub-Saharan Africa (UN),2020,774
Sub-Saharan Africa (UN),2024,777
Taiwan,1990,921
Taiwan,1995,31546
Taiwan,2000,64676
Taiwan,2005,42845
Taiwan,2010,137928
Taiwan,2015,221275
Taiwan,2020,259916
Taiwan,2024,292830
Turkey,1990,180
Turkey,1995,180
Turkey,2000,180
Turkey,2005,1019
Turkey,2010,1914
Turkey,2015,2983
Turkey,2020,6222
Turkey,2024,15386
United Arab Emirates,1990,46445
United Arab Emirates,1995,67397
United Arab Emirates,2000,91456
United Arab Emirates,2005,119309
United Arab Emirates,2010,199195
United Arab Emirates,2015,250877
United Arab Emirates,2020,262762
United Arab Emirates,2024,298351
Upper-middle-income countries,1990,377708
Upper-middle-income countries,1995,629807
Upper-middle-income countries,2000,881230
Upper-middle-income countries,2005,1148983
Upper-middle-income countries,2010,1563806
Upper-middle-income countries,2015,1631437
Upper-middle-income countries,2020,1720255
Upper-middle-income countries,2024,1798629
Venezuela,1990,52
Venezuela,1995,51
Venezuela,2000,51
Venezuela,2005,53
Venezuela,2010,56
Venezuela,2015,59
Venezuela,2020,54
Venezuela,2024,52
Western Asia (UN),1990,462702
Western Asia (UN),1995,491687
Western Asia (UN),2000,608650
Western Asia (UN),2005,574179
Western Asia (UN),2010,591019
Western Asia (UN),2015,609258
Western Asia (UN),2020,622169
Western Asia (UN),2024,675192
Western Europe (UN),1990,190797
Western Europe (UN),1995,181586
Western Europe (UN),2000,169618
Western Europe (UN),2005,157427
Western Europe (UN),2010,142494
Western Europe (UN),2015,128304
Western Europe (UN),2020,114346
Western Europe (UN),2024,104305
World,1990,1309876
World,1995,1664243
World,2000,2128328
World,2005,2406449
World,2010,3031600
World,2015,3269321
World,2020,3446736
World,2024,3745148